"registrační číslo","název","adresa","kraj","druh činnosti","kapacita","GPS","datum registrace"
"CZ 31C03695","Cibela z.s.","Na Hradbách 49, Jindřichův Hradec I, 37701 Jindřichův Hradec","Jihočeský kraj","útulek pro zájmová zvířata","ptáci 3, králíci a hlodavci 5, pes 10, kočka 50","49°8'42.980""N,15°0'6.507""E","29.12.2017"
"CZ 31C03718","Podnik města Slavonice s.r.o.","Polní 61, 37881 Slavonice","Jihočeský kraj","útulek pro zájmová zvířata","kočka 1, pes 1","49°0'0.678""N,15°21'11.819""E","15.01.2018"
"CZ 31C03741","Záchytné kotce Prachatice","Prachatice, 38301 Prachatice","Jihočeský kraj","útulek pro zájmová zvířata","pes 15","48°59'33.293""N,14°1'29.424""E","22.01.2018"
"CZ 31C03763","Záchytné kotce Milevsko","Petrovická 176, 39901 Milevsko","Jihočeský kraj","útulek pro zájmová zvířata","pes 15","49°27'29.752""N,14°21'51.324""E","30.01.2018"
"CZ 31C03796","Kočka v srdci z.s.","Přední Podskalí 172, 37501 Týn nad Vltavou","Jihočeský kraj","útulek pro zájmová zvířata","kočka 30, pes 8","49°13'11.425""N,14°25'36.719""E","15.02.2018"
"CZ 31C03998","Záchytné kotce Volary","Náměstí 25, 38451 Volary","Jihočeský kraj","útulek pro zájmová zvířata","pes 3","48°54'38.026""N,13°53'32.975""E","24.07.2019"
"CZ 31C04089","Pro psí duši z.s.","Smolín č. ev. 429, 39102 Planá nad Lužnicí","Jihočeský kraj","útulek pro zájmová zvířata","pes 10, kočka 30","49°22'31.364""N,14°42'57.677""E","03.12.2020"
"CZ 31C04113","Útulek pro kočky města Písku","Velké náměstí 114/3, Vnitřní Město, 39701 Písek","Jihočeský kraj","útulek pro zájmová zvířata","kočka 40","49°18'31.615""N,14°8'50.374""E","23.03.2021"
"CZ 31C04258","Útulek pro kočky Města Milevska","Areál ČOV, Sažinská, parc.č. 2619, k.ú. Milevsko 39901","Jihočeský kraj","útulek pro zájmová zvířata","kočka 15","49°26'21.499""N,14°23'28.712""E","08.10.2021"
"CZ 31C04483","„Psi pomáhají”","Drhovice č. p. 27, 39131 Drhovice","Jihočeský kraj","útulek pro zájmová zvířata","pes 30","49°25'57.992""N,14°33'35.413""E","18.10.2022"
