"registrační číslo","název","adresa","kraj","druh činnosti","kapacita","GPS","datum registrace"
"CZ 81C05153","Kočka pro tebe z.s.","Prokopa Velikého 260/17, Vítkovice, 70300 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 120","49°48'49.582""N,18°16'17.731""E","22.10.2025"
"CZ 81C04983","Útulek pro kočky a malé hlodavce","Chopinova 523/10, Přívoz, 70200 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","králíci a hlodavci 10, kočka 85","49°50'56.879""N,18°16'23.404""E","13.02.2025"
"CZ 81C04589","Tlapkovi patroni, z.s.","Dětmarovice č. p. 218, 73571 Dětmarovice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 50","49°52'32.528""N,18°26'38.902""E","02.06.2022"
"CZ 81C04455","Odchytové kotce města Klimkovice","Lidická 1, 74283 Klimkovice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 2","49°47'11.577""N,18°7'49.093""E","29.11.2021"
"CZ 81C04422","Bouda","Na Václavu 449, 73532 Rychvald","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 10","49°50'53.911""N,18°23'40.027""E","11.11.2021"
"CZ 81C04398","Záchytný kotec Bravantice","Bravantice č. p. 223, 74281 Bravantice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 1","49°45'25.983""N,18°5'2.001""E","25.11.2021"
"CZ 81C03937","Čtyřlístek pro hafany z.s.","Závada č. p. 67, 73572 Petrovice u Karviné","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 70","49°54'5.954""N,18°30'0.126""E","28.11.2017"
"CZ 81C03904","Nadace na pomoc zvířatům","Ukrajinská 1536/28, Poruba, 70800 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","fretka 5, kočka 50, králíci a hlodavci 5, ptáci 10, plazi 5, pes 7","49°49'27.855""N,18°11'27.310""E","29.10.2018"
"CZ 81C03814","Útulek pro zájmová zvířata","Sedlnice č. p. 109, 74256 Sedlnice","Moravskoslezský kraj","útulek pro zájmová zvířata","pes 2","49°39'32.286""N,18°5'14.554""E","31.05.2018"
"CZ 81C03803","Měrková - mazlíci v nouzi","Dobrovského 536/27, Přívoz, 70200 Ostrava","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 2, pes 10, králíci a hlodavci 1, fretka 1, ptáci 2","49°51'24.725""N,18°15'54.551""E","03.05.2018"
"CZ 81C03768","Neposedné tlapky, z. s.","Sokolská 1347, Frýdek, 73801 Frýdek-Místek","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 5, pes 2, králíci a hlodavci 2","49°41'24.243""N,18°20'4.648""E","10.01.2018"
"CZ 81C03735","Kočky Bohumín z.s.","Ostravská 84, Pudlov, 73551 Bohumín","Moravskoslezský kraj","útulek pro zájmová zvířata","kočka 120","49°53'44.060""N,18°19'56.284""E","09.01.2018"
